college,classCode,Name,Description
CAS,AH 220,Islamic Art and Architecture,"Examines key monuments of Islamic art and architecture within their historical and cultural context, and emphasizes the diversity within the visual cultures of the Islamic world. Carries humanities divisional credit in CAS.       "
CAS,AH 222,Art and Architecture in Ancient America,"Introduction to the cities, monuments, and major art styles of the Aztec, the Maya, the Inca, and their predecessors in ancient Mesoamerica and the Andes from the first millennium BC to the sixteenth century.    "
CAS,AH 225,The Arts of Asia,"Surveys of the major artistic traditions of Asia. Important monuments are examined analytically in order to explain why certain forms and styles are characteristic of specific times and places, and how these monuments functioned in their cultural contexts. Carries humanities divisional credit in CAS.      "
CAS,AH 232,Archaeology of Ancient Egypt,"The technology, economy, social life, political organization, religions, art, and architecture of Egypt from   Predynastic times through the Hellenistic period, based on archaeological and historical sources. Emphasis   on the period of the pharaohs (ca. 3000-323 BCE). Carries humanities divisional credit in CAS. Also offered   as CAS AR 232.     "
CAS,AH 233,The Arts of Greece,"Greek architecture, painting, sculpture, and minor arts. Emphasis on developments in  Athens and on the creation of the classical style in art and architecture.     "
CAS,AH 234,The Art of Rome,"Roman architecture, painting, sculpture, and minor arts.  Emphasis on developments in Rome, Pompeii, and Central Italy and on the political and social role of Roman art and architecture.    "
CAS,AH 240,Medieval Art,"European art and architecture from the Fall of Rome through High Gothic. Covers media including sculpture, textiles, stained glass, and precious metalwork. Monuments treated are Rome's great churches, the Book of Kells, the Bayeux Tapestry, and Chartres and Rheims cathedrals.    "
CAS,AH 242,Latin American Art Since Contact,"Surveys Latin American art from the colonial period to the present and relates it to imperial, state,  institutional, and private agendas. Interrogates both notions of art within colonial/neo-colonial contexts  and changing roles of artists over the past half millennium.    "
CAS,AH 257,Renaissance Art,Survey of the arts in the Renaissance in Italy from the communes of the early fifteenth  century to the courts of the sixteenth century.     
CAS,AH 284,Arts in America,"Survey of American painting, architecture, sculpture, prints, and photography from the early settlement in 1630 to the present. Carries humanities divisional credit in CAS.      "
CAS,AH 287,The Nineteenth Century,"Examines the major currents in nineteenth-century painting and sculpture, from David to  Rodin, in the context of nationalism, revolution, colonial expansion, and technological  growth. Emphasizes European developments Neoclassicism, Romanticism, Realism,  Impressionism, and Symbolism.    "
CAS,AH 295,History of Photography,"An introduction to the study of photographs. The history of the medium in Europe and America from its invention in 1839 to the present. After lectures on photographic theory and methodology, photographs are studied both as art objects and as historical artifacts.     "
CAS,AH 313,Imperial Reflections,"Early Modern Islamic Art and Architecture Architecture, manuscripts, textiles, metalwork, and ceramics of the Mughal, Ottoman, and Safavid Empires. Focus on the formation of imperial styles, intersections between art and politics, and the importance of the arts in dynastic legitimization.   "
CAS,AH 314,After Genghis Khan,"Art and Architecture in Central Asia and Iran Examines the art and architecture in Iran and Central Asia of the Ilkhanids and Timurids (thirteenth-sixteenth centuries), two of the most innovative and dynamic artistic traditions of the Islamic world, and heirs to the traditions of Genghis Khan's Mongol Empire.   "
CAS,AH 316,African Diaspora Arts in the Americas,"Study of the transmission of African artistry in the Caribbean, South America, and the  United States from the period of slavery to the present. Topics include Kongo and Yoruba  arts and their influence on the arts of Santerê_a, Vodun, and carnival. Also offered as CAS AA 316.    "
CAS,AH 317,From Morocco to Timbuktu,"Art and Architecture at the Saharan Crossroads Cultural exchange between North and West Africa, and its impact on art and architecture from the medieval period to the present; the interaction between Islam and other modes of African religious practice and how this interaction influenced African aesthetic expression.    "
CAS,AH 322,Ancient Aztec and Inca Civilizations,"The conquests, trade, society, history, religion, art, and  architecture of the Aztec and Inca Empires in Mexico and Peru, as revealed  archaeologically and in the accounts of their Spanish conquerors. Also offered as CAS AR 322.    "
CAS,AH 326,Arts of Japan,"The arts of Japan, from prehistory to the twentieth century. Lectures intend to cover a broad range of  media (painting, sculpture, ceramics, prints) and building types (temples, palaces, castles, teahouses).  Special attention is paid to major projects integrating multiple forms.    "
CAS,AH 327,Arts of China,"Introduction to the major tradition of Chinese art, from the Neolithic period to the present. Topics include bronzes, tomb sculpture, painting,calligraphy, ceramics, and gardens.      "
CAS,AH 328,Modern Japanese Architecture,"An introduction to the major architects, buildings, theories, and critical issues of Japanese architecture from 1850 to the present. Focus on the development of new forms in response to interchanges with the West, new technologies, earthquakes, nationalism, international wars, and colonialism.    "
CAS,AH 331,Arts of Archaic Greece,"Examines a critical formative stage in Greek art. Analyzes the rise of identifiable artists,  the relationship of art to epic, the evolution of the architectural orders, and the formation  of Greek style in monumental stone sculpture.    "
CAS,AH 345,Early Medieval and Romanesque Art,"Art and architecture of medieval Europe from the Early Christian Catacombs to the great Gothic cathedrals.   Topics include piety, the cult of relics, the Virgin, monasticism, and secular monuments such as medieval  European castles and the Bayeux Tapestry.    "
CAS,AH 353,Renaissance Architecture and Theory,"Italian Renaissance architecture and architectural theory from 1400 to 1600.  Emphasis on individual buildings and urban planning in Rome, Florence, and Venice, and on treatises by Alberti, Serlio, and Palladio.     "
CAS,AH 359,Northern Renaissance Painting,"The painting in countries north of the Alps (Netherlands, Flanders, Burgundy, France, Germany) from the fourteenth through the sixteenth centuries, studied in its historic, cultural, environmental, and artistic contexts. Architecture, sculpture, and graphics are included.     "
CAS,AH 361,Southern Baroque Art,"Seventeenth-century art in Italy, France, and Spain; emphasis on Caravaggio, Bernini, Poussin, Velêçzquez.    "
CAS,AH 365,Baroque Arts in Northern Europe,"Seventeenth-century art in Holland and Flanders. Emphasis on Rubens, Van Dyck,  Frans Hals, Rembrandt, and Vermeer.    "
CAS,AH 367,Material Culture,"Introduction to the theory and practice of the interdisciplinary study of material culture, which includes everything we make and use, from food and clothing to art and buildings. Topic for Fall 2013 American Folk Art. Course will explore the range of objects, created from the seventeenth century to the present, known as American Folk Art. Also offered as CAS AM 367.    "
CAS,AH 368,The Grand Tour,"The culminating educational experience for the elite of Enlightenment Europe took the form of an   extended trip to Italy, ""The Grand Tour."" This course recreates the itinerary of the Tour and analyzes its   impact on art, architecture, collecting, and connoisseurship.    "
CAS,AH 369,American Folk Art,"Explores the objects that collectors and museums identify as ""American Folk Art."" Examines how this label  developed throughout the twentieth century; familiarizes students with major collections and genres  including painting, sculpture, textiles, and other media. Also offered as CAS AM 369.    "
CAS,AH 376,Housing America,"What do dwellings say about the diversity of American experience? For over four centuries and across a  continent, wealth and poverty, family and community, taste and technology have all shaped the meaning of  home. Illustrated lecturers supplemented by field trips. Also offered as CAS AM 376.    "
CAS,AH 377,"American Furniture and Allied Arts, 1630-1830","Survey of furniture and related arts-painting, architecture, and silver-with an emphasis on aesthetics and quality, sources, style changes, regional differences, materials, and construction.    "
CAS,AH 379,American Art and Culture in the Nineteenth Century,"Explores the visual arts of painting, sculpture, photography, and popular media, through their interplay  with persistent political and social questions that defined nineteenth-century America and continue to  shape life in the twenty-first century. Themes include heroes, citizenship, war, imperialism,  cosmopolitanism, consumerism.    "
CAS,AH 382,Nineteenth-Century Architecture,"Survey of European and American architecture from 1750 to 1910. Explores issues in architecture, landscape architecture and city planning, and examines style, technology, and architectural theory.      "
CAS,AH 385,American Architecture,"An introductory survey to the American-built environment across centuries and spanning regions. Students  examine how culture, technology, economics, and geography have shaped American buildings, spaces, and  landscapes. Topics include houses, courthouses, churches, factories, cities, and resort communities.    "
CAS,AH 386,Twentieth-Century American Painting,"Realist and avant-garde movements of the twentieth century, including New York dada, early abstraction, regionalism, art and politics during the depression years, abstract expressionism, pop art and minimal art, performance art, feminist art, and recent developments in postmodernism.      "
CAS,AH 389,Impressionism,"Detailed study of Impressionism from 1860s to circa 1900. Emphasis is on French artists, but  Impressionists elsewhere in Europe and America are also considered. Discusses Impressionism's sources,  Realist underpinnings, stylistic development, themes, and changes in the 1880s.    "
CAS,AH 391,Twentieth-Century Art to 1940,"A study of the key tendencies in European art between the 1880s and World War II. The work of van Gogh, Picasso, Matisse, Dalê_, and their contemporaries is examined in relation to major issues in European culture and politics.     "
CAS,AH 392,Twentieth-Century Art from 1940 to 1980,"An exploration of the major currents in European and American art between 1940 and 1980. Examines abstract expressionism, pop art, minimalism, earthworks, and conceptual art in relation to major issues in postwar culture, politics, and art criticism.    "
CAS,AH 393,Contemporary Art,"1980 to Now Explores the terms of debate, key figures, and primary sites for the production and reception of contemporary art on a global scale since 1980. Painting, installation art, new media, performance, art criticism, and curatorial practice are discussed.    "
CAS,AH 398,Twentieth-Century Architecture,"An introduction to the major developments in architecture and urban planning from ca. 1900 to the present. Traces the history of modern architecture in key projects, taking account of formal, technological, and ideological factors, as well as social, cultural, and environmental contexts.    "
CAS,AH 399,History and Theory of Landscape Architecture,"Explores man's relationship with nature by a study of selected built environments from antiquity to the present. Focus on both the private garden and the public park--here considered as works of art--and their changing forms, meaning, and interpretations.    "
CAS,AH 428,Seminar,"Islamic Art The development of the central aesthetic concepts and visual traditions of the Islamic world are    considered through a variety of time periods, media, or themes. Topic for Spring 2013 Painting and  Calligraphy in Islam. Examines the manuscript traditions of the Islamic world, with particular attention to  painting and calligraphy. Books and albums are considered within the genres of religious, historical, and  literary manuscripts. Consideration of the Persian epic Shahnama, glittering Qurans, and royal albums.  "
CAS,AH 429,Seminar,"African Art In-depth examination of varying topics in the study of African art and architecture. Topic for Spring 2014  Contemporary African Art. A seminar concentrating on contemporary African painting, sculpture, and  photography from 1950 to the present. We question and critique how the term ""contemporary"" is used in an  African context and analyze the dichotomy between ""contemporary"" and ""traditional"" African art.  "
CAS,AH 433,Seminar,Greek Art Topics vary annually. Topic for Spring 2014 TBA.  
CAS,AH 438,Seminar,"Pompeii An in-depth study of Pompeii and the other towns buried by Mount Vesuvius. All aspects of the Vesuvian  cities are examined, including urban planning and public architecture, private domestic and funerary  architecture, mural painting, mosaics, and sculpture. Also offered as CAS AR 438.   "
CAS,AH 444,Seminar,Medieval Art In-depth examination of varying topics in the study of Medieval Art. Topic for Fall 2014 TBA.  
CAS,AH 462,Seminar,"Baroque Art Topic for Spring 2014 The Alliance of Art and Power in the Baroque. Explores the relationship between  visual  culture and political authority in seventeenth century Europe. Focus on painting, architecture, and   sculpture by major artists of the period, including Rubens, Van Dyck, Velêçzquez, Rembrandt, and Bernini.  "
CAS,AH 482,Seminar,"Nineteenth-Century Art Topic for Fall 2013 Romanticism. An exploration of the art of Goya, Blake, Friedrich, Gê©ricault, Delacroix,  and others, who created enduring works of the imagination in an era of revolution, nationalism, and  religious revival. Includes discussion of weekly readings, an oral report, and a final paper.  "
CAS,AH 494,Seminar,"Photography Topic for Spring 2014 The Photographic Book. This seminar examines the photographic book from 1839 to the present. Focus on the book as a unique form for the medium, and study of image/text relationships, narrative structures, and cultural constructions of the book's message.  "
CAS,AH 495,Seminar,"Twentieth Century Art Examines major artists and artistic currents of the twentieth century. Topics vary each year. Some     background in the history of modern art is recommended. Topic for Fall 2014 Picasso. This seminar  explores more than eight decades of incessant art making by Pablo Picasso. How his friends, his lovers,  and his preoccupation with eroticism and death affected his imagery.  "
CAS,AH 497,Seminar,"Contemporary Art Topic for Fall 2014 Contemporary Art and Globalization. Considers globalization as the key paradigm for  art produced since 1989. Explores how international artists and curators have negotiated the space  between local tradition and global exchange while participating in large-scale, international exhibitions.  "
CAS,AH 501,Practicum in Museum Studies," Centered on an internship, which must comprise a supervised project approved in advance by the Director of Museum Studies. Stamped approval prior to the internship is necessary for registration in the course. Internships in Boston-area museums, galleries, historical agencies, and houses arranged for advanced undergraduate and graduate students, 10-12 hours per week (150 hours per semester) at the host institution, with written report.       "
CAS,AH 503,Art Historical Methods,"The history and methods of art history through the writings of Vasari, Winckelmann, Kant, Wê_lfflin, Riegl,  Panofsky, Gombrich, among others. The course plots approaches to art historical questions and frames the  considered writings within broader cultural and historical contexts.    "
CAS,AH 504,Topics in Religion and the Visual Arts,In-depth discussion of special issues in the study of religion and art. May be repeated for credit as topics    change. Also offered as CAS RN  504.    
CAS,AH 520,The Museum and Historical Agency," History, present realities, and future possibilities of museums and historical agencies, using Boston's  excellent examples. Issues and debates confronting museums today examined in the light of historical  development and changing communities. Emphasis on collecting, display and interpretation.    "
CAS,AH 521,Curatorship," Topic for Spring 2014 Exhibition Development. Addresses the history of exhibitions and issues in  contemporary curating. Topics discussed range from the historiography and pragmatics of exhibition  making, to the issues central to curatorial thinking through readings of texts by curators, historians, and  artists.   "
CAS,AH 527,Topics in Art and Society,"May be repeated for credit as topics change. Topic for Fall 2014 Archaeology to World Heritage.  Investigates how architecture and landscape architecture become World Heritage sites. Considers sites'  prior development as ""theaters"" of change, and their performances; architects, artists and others as agents  in globalization, cosmopolitanism and, perhaps, displacement.    "
CAS,AH 529,Seminar,"Twentieth-Century Chinese Art Critical examinations of twentieth-century Chinese art, including the fate of traditional art, art under a totalitarian regime, the problematic status of the artist in a socialist state, and avant-garde art in the international context.   "
CAS,AH 530,Chinese and Japanese Calligraphy,"History, Theory, and Practice Introduction to the history, theory, and practice of the art of Chinese and Japanese  calligraphy. The related art of seal carving is also introduced. No knowledge of Chinese  or Japanese required.     "
CAS,AH 531,Modern Asian Art in a Global Context,"Seminar on print culture of Japan from the nineteenth century to the present. Formats to be studied include  woodblock prints, photographic prints, book art, print advertisements, postcards, and manga. A central exploration of this course is how works in these formats function as both artistic expression and instruments of mass communication.    "
CAS,AH 532,Japanese Print Culture,"Seminar on print culture of Japan from the eighteenth century to the present. Study of woodblock prints, photographic prints, book art, print advertisements, postcards, and manga. Focus on their function as both artistic expression and instruments of mass communication.    "
CAS,AH 541,Courtly Commissions,"Ottoman Art and Architecture Explores the artistic patronage of the Ottoman court, fifteenth to seventeenth centuries. Questions of self-fashioning, artistic agency, courtly behavior, decorum, and the formation of an imperial style frame the discussion of specific works of art and architecture.   "
CAS,AH 543,Latin American Art and the Cold War,"Study of Latin American artistic practices in relation to Cold War political frameworks, such as development  and dependency discourses, the impact of the Cuban Revolution, U.S. and Soviet cultural policies, and the  rise of numerous political dictatorships.    "
CAS,AH 553,Documenting Historic Buildings and Landscapes,"A seminar designed to train students in architectural research techniques through supervised reading,  fieldwork, and writing. Students are introduced to the skills needed to conduct research on both individual  resources and groups of resources, clustered within an area or scattered throughout a community. Also  offered as CAS AM 553.    "
CAS,AH 557,High Renaissance and Mannerist Art in Italy,Topic for Fall 2014 Early Modern Collectors and Collecting. This seminar considers the emergence of  collectors of Renaissance art and their varied collecting practices from the sixteenth century until the  present day. Topics covered in the course include theories of collecting and collections.   
CAS,AH 563,Alliance of Art and Power in the Baroque,"Explores the relationship between visual culture and political authority in seventeenth century Europe.  Focus on painting, architecture, and sculpture by major artists of the period, including Rubens, Van Dyck,  Velêçzquez, Rembrandt, and Bernini.     "
CAS,AH 570,Seventeenth- and Eighteenth-Century American Architecture,"Lectures and field trips explore American architecture and building from initial European contact through the end of the eighteenth century. Emphasis on New England, with discussion of architectural forms from other regions.     "
CAS,AH 571,African American Art,"Studies African American art and craft production from the early nineteenth century to the present against the background of the diaspora, reconstruction, and the modernist movements of the late-nineteenth and twentieth centuries. Also offered as CAS AA 571.    "
CAS,AH 572,Gilded Age America,Visual Culture from 1865-1900    
CAS,AH 580,Architectural Technology and Materials,"An introduction to the history of architectural construction, technologies, and materials, and their consequences in the built environment. Students receive a practical understanding of the building process and of its social and cultural contexts.    "
CAS,AH 582,Historic Houses,"Studies the preservation of historic homes as museums, a phenomenom involving more than 26,000 houses throughout the U.S. since 1850. Considers Boston's excellent examples as works of architecture and design and as icons in debates about national and regional identities.     "
CAS,AH 584,Greater Boston,"Architecture and Planning Examines the buildings, development patterns, and open space planning of greater Boston, with particular  emphasis on the nineteenth and twentieth centuries. Weekly visits to neighborhoods and buildings  throughout the city are combined with independent research projects for each member of the seminar.   "
CAS,AH 585,Twentieth-Century Architecture and Urbanism,"Topic for Spring 2014 Architecture in Europe, 1945-1989. Covering a period that ranges from the  conclusion of the Second World War to the wave of social unrest at the end of the 1960s, this seminar  examines how European architectural culture responded to transformations of the postwar years.   "
CAS,AH 587,Green Design,"This seminar explores the historical context for issues of sustainability and green architecture from the  eighteenth century to the present, charted through questions of landscape theory, public park making,  suburbanization, adaptive re-use, and new materials and methods of construction.    "
CAS,AH 589,Topics in Nineteenth-Century Art,"Topic for Spring 2014 Seminar Impressionism through Symbolism. Major currents in nineteenth-century  European art are examined in light of contemporary developments in politics, science, religion, literature,  music, and the history of ideas.  "
CAS,AH 591,Seminar in Photographic History,"Topic for Spring 2013 Documentary Photography. Changing uses, definitions, and archives of  documentary photography from 1839 to the present. Topics include urban photography, war imagery,  topographical and survey landscapes, architectural records, social reform photography, New Deal imagery,  and digital documents.   "
CAS,AI 101,Introduction to Asian Studies,Mini-seminar to analyze and integrate students' coursework of the Asian Studies Major. Student  presentations on relevant events outside coursework; reading and discussion focused on current issues in  Asian studies. Required of all Asian Studies majors.    
CAS,AM 200,Introduction to American Studies,"An exploration of the multi-faceted themes of American society and culture in selected historical periods  using a variety of approaches to interpret such topics as American art, literature, politics, material culture,  and the mass media. Required of majors and minors. Carries humanities divisional credit in CAS.    "
CAS,AM 250,American Arts and Society,"Investigates key issues and themes in American arts and letters. Topic for Spring 2015 Cold War and Consensus in 1950s America. Explores the tensions between domestic ideals and fractured reality in Cold  War America. Combining film study, literary criticism, material culture, and cultural history, students gain a  thorough, interdisciplinary understanding of the 1950s. Topics include Elvis Presley, McCarthyism, suburbia, and Disneyland.   "
CAS,AM 301,Perspectives on the American Experience,"American history and society as viewed by those who made it. Topic for Fall 2014 America on Television.  An exploration of the ways American culture and people are represented on television, how those  representations evolve over time, and the way television representations influence public debate over  important social and political issues.   "
CAS,AM 313,Internships in Public History,"Cannot provide class description."
CAS,AM 369,American Folk Art,"Explores the objects that collectors and museums identify as ""American Folk Art."" Examines how this label  developed throughout the twentieth century; familiarizes students with major collections and genres  including painting, sculpture, textiles, and other media. Also offered as CAS AH 369.    "
CAS,AM 376,Housing America,"What do dwellings say about the diversity of American experience? For over four centuries and across a  continent, wealth and poverty, family and community, taste and technology have all shaped the meaning of  home. Illustrated lecturers supplemented by field trips. Also offered as CAS AH 376.    "
CAS,AM 501,Special Topics in American Studies,Topic for Fall 2014 Reading Boston Conversations about the Real and Imagined City. Team-taught by  English (Howell) and History of Art & Architecture (Morgan) professors. Multidisciplinary examination of  Boston from Wampanoag settlement to the present. Explores how specific neighborhoods have developed  and how they have been presented in literature. Includes frequent site visits around Boston. Serves as AM  capstone.  
CAS,AM 502,Special Topics in American Studies,"Topic for Spring 2015 American Baseball. This interdisciplinary research seminar examines the history, culture, and science of the game from its shadowy origins in the early days of the nineteenth century, explosive growth in popularity during the Jazz Age, to the controversy-ridden Steroid Era.   "
CAS,AM 524,New England Cultural Landscapes,Examines the historic forces that have shaped the distinctive regional landscapes of New England and  catalogues the changing forms that make up those landscapes. Also offered as CAS AH 525.    
CAS,AM 546,Places of Memory,"Historic Preservation Theory and Practice Covers key aspects of the history, theory, and practice of historic preservation. Preservation will be discussed in the context of cultural history and the changing relationship between existing buildings and landscapes and attitudes toward history, memory, invented tradition, and place.    "
CAS,AM 553,Documenting Historic Buildings and Landscapes,"A seminar designed to train students in architectural research techniques through supervised reading,  fieldwork, and writing. Students are introduced to the skills needed to conduct research on both individual  resources and groups of resources, clustered within an area or scattered throughout a community. Also  offered as CAS AH 553.    "
CAS,AN 101,Introduction to Cultural Anthropology,"An introduction to the basic concepts, principles, and problems of cultural anthropology, emphasizing study of both traditional and complex societies. Special attention to the evolution of human societies and culture; the changing organization and meaning of religion, economic life, kinship, and political order; and the problem of cultural variation in the modern world. Carries social science divisional credit in CAS.     "
CAS,AN 102,"Human Biology, Behavior, and Evolution","Biology relevant to the behavioral sciences. Introduces basic principles of evolutionary biology, animal  social behavior, primate adaptions, human origins, genetic/hormonal/neural bases of behavior, and issues  of human socioecology and adaptions. Discussions highlight nature-vs-nurture issues. Carries natural  science divisional credit (with lab) in CAS.     "
